engine_no,LAST(recordings.time_in_cycles),LAST(recordings.operational_setting_1),LAST(recordings.operational_setting_2),LAST(recordings.operational_setting_3),LAST(recordings.sensor_measurement_1),LAST(recordings.sensor_measurement_2),LAST(recordings.sensor_measurement_3),LAST(recordings.sensor_measurement_4),LAST(recordings.sensor_measurement_5),LAST(recordings.sensor_measurement_6),LAST(recordings.sensor_measurement_7),LAST(recordings.sensor_measurement_8),LAST(recordings.sensor_measurement_9),LAST(recordings.sensor_measurement_10),LAST(recordings.sensor_measurement_11),LAST(recordings.sensor_measurement_12),LAST(recordings.sensor_measurement_13),LAST(recordings.sensor_measurement_14),LAST(recordings.sensor_measurement_15),LAST(recordings.sensor_measurement_16),LAST(recordings.sensor_measurement_17),LAST(recordings.sensor_measurement_18),LAST(recordings.sensor_measurement_19),LAST(recordings.sensor_measurement_20),LAST(recordings.sensor_measurement_21),MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MIN(recordings.operational_setting_1),MIN(recordings.operational_setting_2),MIN(recordings.operational_setting_3),MIN(recordings.sensor_measurement_1),MIN(recordings.sensor_measurement_2),MIN(recordings.sensor_measurement_3),MIN(recordings.sensor_measurement_4),MIN(recordings.sensor_measurement_5),MIN(recordings.sensor_measurement_6),MIN(recordings.sensor_measurement_7),MIN(recordings.sensor_measurement_8),MIN(recordings.sensor_measurement_9),MIN(recordings.sensor_measurement_10),MIN(recordings.sensor_measurement_11),MIN(recordings.sensor_measurement_12),MIN(recordings.sensor_measurement_13),MIN(recordings.sensor_measurement_14),MIN(recordings.sensor_measurement_15),MIN(recordings.sensor_measurement_16),MIN(recordings.sensor_measurement_17),MIN(recordings.sensor_measurement_18),MIN(recordings.sensor_measurement_19),MIN(recordings.sensor_measurement_20),MIN(recordings.sensor_measurement_21),RUL
77,41,25.0072,0.62,60.0,462.54,536.53,1258.92,1039.19,7.05,9.02,176.1,1915.24,8003.82,0.94,36.76,164.4,2028.14,7867.87,10.8443,0.02,309,1915,84.93,14.2,8.6939,42.0072,0.8417,100.0,518.67,643.17,1594.08,1406.93,14.62,21.61,553.98,2388.1,9052.56,1.3,47.56,522.58,2388.13,8130.77,10.9128,0.03,393,2388,100.0,38.98,23.4705,0.0,0.0,60.0,445.0,536.42,1252.28,1039.19,3.91,5.71,138.35,1915.2,8001.05,0.94,36.46,130.35,2028.11,7863.54,8.4155,0.02,306,1915,84.93,10.42,6.3298,107
78,129,35.0073,0.84,100.0,449.44,555.49,1368.77,1118.26,5.48,7.99,195.03,2222.96,8345.93,1.03,41.7,183.23,2388.03,8072.75,9.2708,0.02,333,2223,100.0,14.88,8.8701,42.0079,0.842,100.0,518.67,642.92,1589.22,1402.48,14.62,21.6,556.17,2388.13,9060.81,1.3,47.33,524.21,2388.11,8147.22,10.8808,0.03,395,2388,100.0,39.34,23.5916,0.0,0.0,60.0,445.0,536.28,1246.96,1032.68,3.91,5.71,138.0,1915.3,7997.51,0.94,36.31,130.21,2028.19,7869.22,8.3384,0.02,303,1915,84.93,10.42,6.2711,121
79,178,0.0022,0.0,100.0,518.67,642.37,1587.72,1408.05,14.62,21.6,559.22,2388.15,9082.13,1.3,47.47,527.05,2388.18,8157.9,8.3038,0.03,393,2388,100.0,39.16,23.5522,42.0078,0.842,100.0,518.67,642.82,1592.76,1408.05,14.62,21.6,559.22,2388.15,9082.13,1.3,47.47,527.05,2388.27,8157.9,10.8921,0.03,393,2388,100.0,39.33,23.5625,0.0,0.0,60.0,445.0,535.48,1248.35,1030.64,3.91,5.7,137.35,1915.23,7998.68,0.94,36.14,129.54,2028.13,7866.03,8.3038,0.02,304,1915,84.93,10.42,6.2519,40
80,61,0.0014,0.0,100.0,518.67,641.78,1577.37,1402.1,14.62,21.6,555.03,2388.03,9052.75,1.3,47.03,522.94,2388.04,8138.45,8.3511,0.03,391,2388,100.0,38.97,23.4619,42.0079,0.8416,100.0,518.67,642.11,1584.93,1402.1,14.62,21.6,555.9,2388.03,9060.18,1.3,47.29,522.94,2388.07,8138.45,10.8724,0.03,391,2388,100.0,39.2,23.5517,0.0002,0.0,60.0,445.0,536.15,1248.03,1031.75,3.91,5.7,137.69,1915.27,8003.57,0.94,36.29,129.95,2028.18,7864.73,8.3511,0.02,304,1915,84.93,10.5,6.2015,244
81,96,20.0052,0.7,100.0,491.19,607.22,1476.35,1257.71,9.35,13.65,334.38,2323.99,8732.0,1.08,44.35,314.89,2388.1,8068.85,9.277,0.02,367,2324,100.0,24.37,14.6364,42.0076,0.8419,100.0,518.67,643.07,1595.46,1414.36,14.62,21.61,554.47,2388.12,9066.58,1.3,47.5,522.4,2388.2,8142.83,10.9177,0.03,394,2388,100.0,38.96,23.4763,0.0,0.0,60.0,445.0,535.94,1245.68,1040.65,3.91,5.71,137.95,1915.28,7999.27,0.94,36.56,130.04,2028.15,7867.36,8.3655,0.02,305,1915,84.93,10.39,6.2151,91
82,31,42.0001,0.84,100.0,445.0,550.13,1350.95,1128.72,3.91,5.71,138.72,2211.88,8328.12,1.02,42.16,130.42,2387.92,8082.89,9.3857,0.02,331,2212,100.0,10.47,6.1679,42.0071,0.8417,100.0,518.67,643.38,1593.73,1414.79,14.62,21.61,553.67,2388.15,9063.35,1.3,47.63,521.58,2388.17,8140.89,10.9569,0.03,395,2388,100.0,39.0,23.2943,0.0004,0.0,60.0,445.0,536.59,1258.4,1049.56,3.91,5.71,138.21,1915.29,8005.98,0.94,36.74,130.21,2028.19,7869.66,8.4384,0.02,305,1915,84.93,10.44,6.1679,166
83,147,25.0012,0.62,60.0,462.54,536.94,1263.67,1047.92,7.05,9.03,174.87,1915.16,7997.43,0.94,36.95,164.87,2027.99,7864.94,10.9266,0.02,307,1915,84.93,14.25,8.5799,42.0078,0.842,100.0,518.67,642.87,1596.11,1411.34,14.62,21.61,554.65,2388.15,9056.4,1.3,47.53,522.58,2388.21,8137.28,10.9266,0.03,394,2388,100.0,39.13,23.44,0.0001,0.0,60.0,445.0,535.94,1249.75,1042.19,3.91,5.71,137.48,1915.13,7997.43,0.94,36.49,130.02,2027.99,7861.84,8.3784,0.02,305,1915,84.93,10.36,6.2256,37
84,118,10.0034,0.25,100.0,489.05,604.71,1509.67,1306.09,10.52,15.5,394.37,2318.99,8781.17,1.26,45.54,371.14,2388.16,8126.84,8.6644,0.03,370,2319,100.0,28.37,17.0831,42.0058,0.8419,100.0,518.67,642.91,1594.05,1412.52,14.62,21.61,554.21,2388.17,9062.18,1.3,47.63,522.26,2388.2,8143.66,10.9391,0.03,395,2388,100.0,39.11,23.4692,0.0,0.0,60.0,445.0,536.21,1254.5,1040.41,3.91,5.71,137.98,1915.27,8004.1,0.94,36.49,130.04,2028.13,7867.83,8.3627,0.02,305,1915,84.93,10.31,6.2621,41
85,205,42.0078,0.84,100.0,445.0,550.11,1351.72,1133.16,3.91,5.72,138.47,2211.99,8337.83,1.02,42.28,130.22,2388.13,8093.37,9.3859,0.02,334,2212,100.0,10.63,6.2928,42.0078,0.842,100.0,518.67,643.4,1599.97,1416.6,14.62,21.61,554.06,2388.21,9071.09,1.3,47.82,521.94,2388.27,8147.97,10.9847,0.03,395,2388,100.0,39.1,23.3838,0.0,0.0,60.0,445.0,536.33,1254.75,1043.67,3.91,5.71,137.76,1915.33,8008.67,0.94,36.61,129.36,2028.16,7871.14,8.4071,0.02,305,1915,84.93,10.31,6.1782,72
86,6,0.0027,0.0,100.0,518.67,642.34,1593.09,1410.18,14.62,21.61,553.56,2388.07,9061.95,1.3,47.54,521.96,2388.12,8144.85,8.4438,0.03,393,2388,100.0,38.96,23.4119,42.0035,0.8403,100.0,518.67,642.43,1593.09,1410.18,14.62,21.61,553.56,2388.07,9061.95,1.3,47.54,521.96,2388.15,8144.85,10.9009,0.03,393,2388,100.0,38.96,23.4867,0.0016,0.0,60.0,445.0,537.08,1262.96,1055.63,3.91,5.71,138.57,1915.39,8016.06,0.94,36.64,130.63,2028.22,7875.57,8.4438,0.02,307,1915,84.93,10.38,6.2997,226
87,204,42.0035,0.84,100.0,445.0,549.74,1362.57,1123.61,3.91,5.71,140.83,2212.2,8346.13,1.03,42.13,132.51,2388.26,8112.95,9.2422,0.02,332,2212,100.0,10.86,6.4926,42.0078,0.8419,100.0,518.67,643.16,1593.48,1407.3,14.62,21.61,560.97,2388.25,9082.36,1.31,47.54,528.62,2388.39,8155.81,10.8489,0.03,394,2388,100.0,39.4,23.6456,0.0001,0.0,60.0,445.0,536.34,1250.27,1035.63,3.91,5.71,138.53,1915.33,8009.68,0.94,36.36,130.74,2028.28,7872.57,8.2858,0.02,305,1915,84.93,10.42,6.2559,55
88,351,42.003,0.8415,100.0,445.0,549.72,1353.15,1128.65,3.91,5.69,141.05,2212.24,8351.56,1.03,42.05,131.93,2388.44,8112.83,9.196,0.02,331,2212,100.0,10.7,6.4092,42.0079,0.842,100.0,518.67,642.8,1592.12,1418.23,14.62,21.58,560.36,2388.26,9085.47,1.31,47.53,527.32,2388.44,8159.01,10.9271,0.03,393,2388,100.0,39.29,23.7455,0.0001,0.0,60.0,445.0,535.68,1245.43,1030.78,3.91,5.69,136.61,1915.12,7989.23,0.93,36.18,128.59,2028.04,7859.56,8.2978,0.02,303,1915,84.93,10.35,6.2338,37
89,57,42.0036,0.84,100.0,445.0,548.49,1351.6,1121.64,3.91,5.71,138.22,2211.95,8325.06,1.02,42.07,131.04,2388.07,8086.05,9.3364,0.02,330,2212,100.0,10.39,6.2962,42.008,0.842,100.0,518.67,642.77,1591.38,1406.13,14.62,21.61,554.73,2388.11,9065.26,1.3,47.52,522.88,2388.12,8145.55,10.9008,0.03,394,2388,100.0,39.02,23.4253,0.0006,0.0,60.0,445.0,536.03,1252.47,1041.04,3.91,5.71,138.19,1915.29,8008.36,0.94,36.48,130.11,2028.2,7871.26,8.3847,0.02,305,1915,84.93,10.39,6.2407,111
90,162,24.9984,0.6208,60.0,462.54,537.08,1263.06,1050.74,7.05,9.03,174.46,1915.71,8028.33,0.94,36.91,164.35,2028.63,7895.14,10.9213,0.02,308,1915,84.93,14.25,8.5353,42.0077,0.842,100.0,518.67,643.02,1596.77,1413.93,14.62,21.61,554.7,2388.12,9071.97,1.3,47.69,522.47,2388.45,8151.15,10.9343,0.03,393,2388,100.0,39.09,23.4537,0.0002,0.0,60.0,445.0,536.15,1248.64,1037.82,3.91,5.71,137.72,1915.32,8006.34,0.94,36.43,130.1,2028.23,7870.06,8.3832,0.02,304,1915,84.93,10.31,6.2034,50
91,299,42.0079,0.84,100.0,445.0,550.09,1350.09,1131.62,3.91,5.71,140.66,2212.14,8349.5,1.03,42.3,131.96,2388.24,8107.14,9.23,0.02,331,2212,100.0,10.7,6.4397,42.008,0.842,100.0,518.67,643.06,1594.51,1418.2,14.62,21.61,560.28,2388.25,9086.45,1.31,47.56,527.91,2388.34,8159.87,10.8781,0.03,395,2388,100.0,39.46,23.6329,0.0001,0.0,60.0,445.0,536.02,1246.54,1034.08,3.91,5.7,138.2,1915.29,8002.15,0.94,36.31,130.15,2028.18,7870.24,8.3069,0.02,304,1915,84.93,10.49,6.2776,55
92,179,35.0073,0.8419,100.0,449.44,556.74,1372.68,1142.6,5.48,8.0,193.79,2223.1,8353.77,1.02,42.34,182.62,2388.14,8072.82,9.4301,0.02,336,2223,100.0,14.65,8.8497,42.0079,0.842,100.0,518.67,643.77,1603.09,1425.97,14.62,21.61,553.59,2388.23,9067.57,1.3,48.09,521.72,2388.29,8143.24,11.0122,0.03,395,2388,100.0,39.06,23.4079,0.0001,0.0,60.0,445.0,536.36,1254.37,1046.87,3.91,5.71,137.81,1915.28,8000.5,0.94,36.67,129.81,2028.13,7869.56,8.4203,0.02,305,1915,84.93,10.35,6.2451,12
93,41,42.0015,0.84,100.0,445.0,550.12,1356.31,1127.46,3.91,5.72,138.19,2211.89,8324.57,1.02,41.96,130.35,2388.03,8087.8,9.3505,0.02,330,2212,100.0,10.52,6.3036,42.0078,0.8419,100.0,518.67,643.13,1596.47,1413.68,14.62,21.61,553.98,2388.12,9068.21,1.3,47.65,521.67,2388.22,8140.53,10.9498,0.03,394,2388,100.0,38.91,23.3111,0.0002,0.0,60.0,445.0,536.26,1258.62,1045.48,3.91,5.71,138.17,1915.33,8009.95,0.94,36.73,130.0,2028.26,7870.71,8.4034,0.02,305,1915,84.93,10.42,6.202,155
94,192,0.0026,0.0013,100.0,518.67,642.37,1590.42,1408.3,14.62,21.6,559.55,2388.16,9078.71,1.31,47.42,527.16,2388.09,8153.18,8.2958,0.03,392,2388,100.0,39.14,23.5407,42.0079,0.842,100.0,518.67,642.75,1591.91,1408.43,14.62,21.6,559.55,2388.17,9078.71,1.31,47.53,527.16,2388.33,8155.74,10.8724,0.03,394,2388,100.0,39.29,23.662,0.0,0.0,60.0,445.0,535.95,1251.02,1031.06,3.91,5.71,138.01,1915.3,8000.28,0.94,36.24,129.75,2028.17,7869.02,8.2958,0.02,303,1915,84.93,10.44,6.2801,57
95,148,42.0063,0.84,100.0,445.0,548.89,1353.04,1125.95,3.91,5.7,138.78,2212.08,8323.84,1.02,41.81,130.97,2388.11,8091.2,9.3157,0.02,329,2212,100.0,10.59,6.2476,42.0079,0.8419,100.0,518.67,642.59,1592.29,1405.57,14.62,21.6,557.27,2388.06,9066.42,1.3,47.33,523.96,2388.15,8146.24,10.8774,0.03,393,2388,100.0,39.37,23.6165,0.0001,0.0,60.0,445.0,536.15,1249.53,1030.0,3.91,5.7,137.58,1915.23,7997.27,0.94,36.29,129.42,2028.17,7866.82,8.3366,0.02,304,1915,84.93,10.42,6.2476,91
96,177,42.0045,0.84,100.0,445.0,548.77,1349.93,1112.55,3.91,5.71,139.28,2212.01,8333.25,1.03,41.86,131.67,2388.11,8092.24,9.2672,0.02,329,2212,100.0,10.71,6.3436,42.0078,0.842,100.0,518.67,642.82,1588.51,1405.73,14.62,21.61,557.01,2388.08,9072.62,1.3,47.37,525.16,2388.18,8143.45,10.8903,0.03,393,2388,100.0,39.29,23.6108,0.0001,0.0,60.0,445.0,535.9,1249.62,1032.38,3.91,5.71,137.99,1915.27,7997.99,0.94,36.24,129.87,2028.18,7866.88,8.3332,0.02,303,1915,84.93,10.38,6.2622,93
97,230,0.0029,0.0,100.0,518.67,642.75,1599.73,1417.53,14.62,21.6,564.0,2388.38,9099.05,1.31,47.85,530.86,2388.35,8173.69,8.2928,0.03,394,2388,100.0,39.53,23.6869,42.0077,0.842,100.0,518.67,643.26,1601.36,1417.53,14.62,21.6,564.0,2388.38,9099.05,1.31,47.85,530.86,2388.54,8173.69,10.8357,0.03,394,2388,100.0,39.53,23.6869,0.0,0.0,60.0,445.0,535.99,1256.7,1031.7,3.91,5.7,138.44,1915.36,8005.28,0.94,36.41,130.2,2028.26,7866.96,8.265,0.02,305,1915,84.93,10.44,6.2383,32
98,185,35.0062,0.84,100.0,449.44,556.2,1362.28,1127.74,5.48,8.0,194.66,2223.4,8379.22,1.02,42.19,183.63,2388.53,8092.32,9.3567,0.02,335,2223,100.0,14.91,8.8505,42.0079,0.8419,100.0,518.67,643.11,1595.45,1414.59,14.62,21.61,554.84,2388.11,9093.75,1.3,47.63,522.64,2388.53,8168.59,10.9135,0.03,395,2388,100.0,39.25,23.4545,0.0001,0.0,60.0,445.0,536.05,1249.19,1032.99,3.91,5.71,138.11,1915.33,8001.7,0.94,36.32,130.01,2028.19,7869.43,8.3896,0.02,305,1915,84.93,10.42,6.2063,60
99,93,42.0062,0.8406,100.0,445.0,550.18,1352.89,1137.22,3.91,5.71,137.84,2211.84,8320.07,1.02,42.22,130.97,2387.9,8080.0,9.3967,0.02,331,2212,100.0,10.72,6.4095,42.0076,0.8419,100.0,518.67,642.63,1596.82,1414.54,14.62,21.61,554.11,2388.17,9057.52,1.3,47.64,522.0,2388.21,8141.56,10.9438,0.03,394,2388,100.0,39.0,23.4347,0.0002,0.0,60.0,445.0,536.4,1257.78,1040.49,3.91,5.71,137.84,1915.23,8006.08,0.94,36.58,130.16,2028.13,7865.72,8.3893,0.02,305,1915,84.93,10.41,6.2105,74
100,10,0.0005,0.0,100.0,518.67,641.72,1582.87,1391.87,14.62,21.57,554.03,2387.96,9050.68,1.3,47.08,521.06,2388.03,8134.7,8.3888,0.03,391,2388,100.0,38.94,23.393,42.0022,0.841,100.0,518.67,641.72,1582.87,1391.87,14.62,21.57,554.03,2387.96,9050.68,1.3,47.08,521.06,2388.04,8134.7,10.8514,0.03,391,2388,100.0,38.94,23.393,0.0005,0.0,60.0,445.0,536.61,1257.95,1043.33,3.91,5.69,137.4,1915.32,7998.5,0.93,36.37,129.66,2028.21,7868.97,8.3888,0.02,306,1915,84.93,10.53,6.2755,251
101,193,42.0034,0.8413,100.0,445.0,550.13,1351.23,1122.49,3.91,5.72,138.25,2211.65,8311.43,1.02,42.33,130.51,2387.66,8077.68,9.4359,0.02,333,2212,100.0,10.5,6.2072,42.0079,0.842,100.0,518.67,642.83,1594.41,1412.86,14.62,21.61,554.48,2388.17,9052.78,1.3,47.68,522.43,2388.25,8138.56,10.9387,0.03,394,2388,100.0,39.14,23.46,0.0001,0.0,60.0,445.0,536.28,1254.73,1038.17,3.91,5.71,137.4,1915.12,7993.95,0.94,36.44,129.93,2028.01,7860.68,8.3909,0.02,305,1915,84.93,10.38,6.2072,67
102,181,42.0035,0.84,100.0,445.0,550.23,1360.98,1138.59,3.91,5.72,138.14,2211.86,8331.12,1.02,42.75,130.09,2387.95,8089.64,9.4389,0.02,333,2212,100.0,10.44,6.3481,42.0078,0.842,100.0,518.67,643.56,1599.2,1421.46,14.62,21.61,554.17,2388.23,9061.31,1.3,47.95,521.81,2388.33,8137.81,10.9754,0.03,396,2388,100.0,39.01,23.4196,0.0002,0.0,60.0,445.0,536.32,1257.79,1044.96,3.91,5.71,137.55,1915.16,7997.84,0.94,36.46,129.78,2028.04,7862.74,8.3969,0.02,306,1915,84.93,10.39,6.1769,13
103,63,25.0005,0.62,60.0,462.54,537.26,1254.53,1049.08,7.05,9.02,174.36,1915.16,7993.16,0.94,36.72,164.74,2028.04,7868.29,10.9077,0.02,308,1915,84.93,14.06,8.6084,42.0072,0.8419,100.0,518.67,643.74,1597.15,1415.48,14.62,21.61,553.89,2388.19,9046.59,1.3,47.67,521.86,2388.22,8128.75,10.9077,0.03,394,2388,100.0,38.92,23.328,0.0004,0.0,60.0,445.0,536.61,1254.53,1048.81,3.91,5.71,137.84,1915.09,7993.16,0.94,36.72,129.78,2028.0,7860.98,8.4215,0.02,306,1915,84.93,10.39,6.2536,161
104,109,25.004,0.6212,60.0,462.54,536.47,1253.33,1033.36,7.05,9.0,175.36,1915.36,8009.79,0.94,36.31,164.36,2028.21,7871.15,10.8392,0.02,304,1915,84.93,14.3,8.4517,42.0079,0.842,100.0,518.67,642.33,1589.23,1402.43,14.62,21.58,554.25,2388.0,9056.56,1.3,47.36,521.82,2388.07,8139.77,10.8995,0.03,393,2388,100.0,39.19,23.5187,0.0001,0.0,60.0,445.0,536.01,1250.7,1033.36,3.91,5.69,137.45,1915.25,7993.45,0.93,36.22,129.36,2028.11,7859.69,8.3563,0.02,304,1915,84.93,10.34,6.239,94
105,65,24.9993,0.62,60.0,462.54,536.39,1256.43,1041.58,7.05,9.03,175.78,1915.5,8017.92,0.94,36.61,164.96,2028.45,7881.3,10.8888,0.02,306,1915,84.93,14.26,8.5277,42.0068,0.842,100.0,518.67,642.55,1594.96,1405.36,14.62,21.61,555.25,2388.04,9073.38,1.3,47.32,522.61,2388.29,8152.98,10.8951,0.03,392,2388,100.0,39.22,23.4537,0.0003,0.0,60.0,445.0,535.99,1254.37,1038.23,3.91,5.71,138.42,1915.46,8014.39,0.94,36.36,130.22,2028.36,7876.74,8.3872,0.02,305,1915,84.93,10.45,6.1607,105
106,124,0.0027,0.0,100.0,518.67,642.42,1576.74,1398.71,14.62,21.61,553.33,2388.0,9059.5,1.3,47.31,521.75,2388.02,8147.29,8.4013,0.03,391,2388,100.0,39.02,23.4174,42.0079,0.842,100.0,518.67,642.73,1589.04,1399.76,14.62,21.61,554.93,2388.03,9070.11,1.3,47.35,523.01,2388.22,8149.73,10.8919,0.03,394,2388,100.0,39.22,23.5243,0.0006,0.0,60.0,445.0,536.19,1251.14,1031.54,3.91,5.71,138.13,1915.37,8005.34,0.94,36.26,130.13,2028.25,7874.69,8.3579,0.02,305,1915,84.93,10.48,6.264,142
107,21,20.0067,0.7,100.0,491.19,607.22,1478.05,1247.04,9.35,13.66,334.79,2324.04,8729.53,1.08,44.34,315.28,2388.04,8070.98,9.2053,0.02,365,2324,100.0,24.6,14.7302,42.0075,0.841,100.0,518.67,642.79,1588.57,1406.34,14.62,21.61,554.79,2388.06,9062.52,1.3,47.45,522.5,2388.21,8148.2,10.9004,0.03,392,2388,100.0,39.04,23.3565,0.0005,0.0007,60.0,445.0,536.6,1255.76,1042.81,3.91,5.71,138.72,1915.4,8016.1,0.94,36.61,130.55,2028.36,7876.24,8.3794,0.02,305,1915,84.93,10.53,6.3657,162
108,137,0.0002,0.0013,100.0,518.67,642.05,1581.86,1402.07,14.62,21.6,557.18,2388.11,9066.52,1.3,47.34,525.34,2388.07,8141.86,8.3599,0.03,393,2388,100.0,39.25,23.4457,42.0076,0.842,100.0,518.67,642.53,1593.48,1403.76,14.62,21.61,557.21,2388.15,9066.75,1.3,47.36,525.34,2388.19,8148.93,10.8669,0.03,394,2388,100.0,39.29,23.6243,0.0002,0.0,60.0,445.0,536.04,1252.11,1034.85,3.91,5.7,138.51,1915.32,8003.4,0.94,36.34,130.54,2028.2,7869.79,8.3462,0.02,304,1915,84.93,10.53,6.2898,167
109,218,35.0024,0.84,100.0,449.44,555.4,1353.85,1118.38,5.48,7.98,194.99,2223.02,8353.49,1.03,41.66,184.1,2388.14,8070.15,9.2538,0.02,332,2223,100.0,14.9,8.9459,42.0073,0.842,100.0,518.67,642.46,1594.94,1407.61,14.62,21.6,557.07,2388.14,9065.69,1.3,47.43,525.0,2388.2,8147.96,10.883,0.03,394,2388,100.0,39.41,23.5545,0.0,0.0,60.0,445.0,536.03,1250.67,1034.96,3.91,5.7,137.75,1915.21,7997.6,0.93,36.28,129.83,2028.14,7865.63,8.3197,0.02,304,1915,84.93,10.5,6.2648,107
110,141,42.0073,0.8414,100.0,445.0,549.69,1357.39,1128.11,3.91,5.72,137.95,2212.13,8335.52,1.02,42.13,130.48,2388.24,8096.05,9.3497,0.02,331,2212,100.0,10.51,6.3777,42.0076,0.8418,100.0,518.67,642.86,1593.94,1408.9,14.62,21.61,554.74,2388.1,9073.3,1.3,47.54,522.8,2388.29,8151.94,10.9172,0.03,394,2388,100.0,39.08,23.4956,0.0001,0.0,60.0,445.0,536.04,1252.01,1036.96,3.91,5.71,137.95,1915.39,8008.27,0.94,36.45,130.16,2028.29,7874.28,8.3644,0.02,304,1915,84.93,10.4,6.2864,45
111,20,0.0019,0.0,100.0,518.67,641.43,1577.19,1393.82,14.62,21.61,555.44,2388.0,9045.96,1.3,47.18,522.72,2388.0,8135.63,8.365,0.03,391,2388,100.0,39.17,23.4933,42.0046,0.8404,100.0,518.67,641.78,1595.25,1402.17,14.62,21.61,555.44,2388.0,9052.99,1.3,47.18,522.73,2388.06,8135.83,10.8532,0.03,391,2388,100.0,39.17,23.5158,0.0003,0.0,60.0,445.0,535.99,1255.03,1033.54,3.91,5.71,138.99,1915.26,8001.58,0.94,36.39,130.32,2028.17,7866.78,8.365,0.02,305,1915,84.93,10.46,6.3588,277
112,135,0.0009,0.0,100.0,518.67,642.46,1585.6,1399.24,14.62,21.61,554.18,2388.03,9068.97,1.3,47.29,521.78,2388.05,8147.76,8.4112,0.03,393,2388,100.0,38.86,23.3003,42.0079,0.8419,100.0,518.67,643.22,1592.46,1409.68,14.62,21.61,554.44,2388.08,9075.31,1.3,47.54,522.37,2388.27,8151.26,10.922,0.03,393,2388,100.0,39.1,23.4961,0.0001,0.0,60.0,445.0,536.28,1250.68,1040.59,3.91,5.71,137.88,1915.42,8010.26,0.94,36.39,129.92,2028.34,7876.19,8.3818,0.02,305,1915,84.93,10.42,6.2925,205
113,110,0.0029,0.0,100.0,518.67,642.57,1585.75,1417.9,14.62,21.61,553.02,2388.12,9064.62,1.3,47.68,522.01,2388.13,8137.92,8.4767,0.03,393,2388,100.0,38.91,23.2986,42.0076,0.842,100.0,518.67,643.01,1595.39,1417.9,14.62,21.61,554.52,2388.13,9067.69,1.3,47.72,522.27,2388.18,8142.84,10.9427,0.03,395,2388,100.0,39.01,23.4367,0.0005,0.0,60.0,445.0,535.97,1250.76,1041.4,3.91,5.71,138.02,1915.33,8002.87,0.94,36.51,130.08,2028.2,7866.6,8.4032,0.02,305,1915,84.93,10.41,6.2491,74
114,127,42.0068,0.84,100.0,445.0,549.55,1357.59,1132.48,3.91,5.71,140.34,2212.12,8347.21,1.03,42.15,131.74,2388.17,8108.2,9.2325,0.02,330,2212,100.0,10.92,6.4158,42.0079,0.8419,100.0,518.67,642.82,1593.82,1409.79,14.62,21.61,559.15,2388.16,9075.31,1.31,47.63,527.1,2388.34,8159.99,10.8722,0.03,394,2388,100.0,39.42,23.6526,0.0001,0.0,60.0,445.0,536.01,1250.68,1038.0,3.91,5.71,138.48,1915.27,8003.73,0.94,36.29,130.22,2028.21,7869.43,8.3322,0.02,304,1915,84.93,10.41,6.3093,34
115,111,0.0008,0.0002,100.0,518.67,643.03,1590.11,1424.33,14.62,21.61,551.52,2388.29,9021.69,1.3,47.84,520.63,2388.19,8108.27,8.4595,0.03,393,2388,100.0,38.73,23.136,42.0079,0.842,100.0,518.67,643.62,1597.21,1424.33,14.62,21.61,553.54,2388.29,9045.77,1.3,48.01,521.85,2388.3,8123.84,11.0001,0.03,396,2388,100.0,38.95,23.3325,0.0001,0.0,60.0,445.0,536.48,1256.71,1043.72,3.91,5.71,137.8,1914.94,7990.86,0.94,36.51,129.7,2027.81,7854.7,8.4204,0.02,306,1915,84.93,10.31,6.2157,20
116,312,41.9984,0.84,100.0,445.0,549.83,1358.48,1124.28,3.91,5.68,140.22,2212.36,8357.04,1.03,42.24,131.9,2388.41,8119.31,9.2387,0.02,331,2212,100.0,10.71,6.4625,42.0079,0.8419,100.0,518.67,643.03,1595.36,1414.43,14.62,21.58,559.66,2388.25,9084.16,1.31,47.68,528.1,2388.48,8161.37,10.9073,0.03,394,2388,100.0,39.47,23.6409,0.0003,0.0,60.0,445.0,535.84,1245.98,1029.8,3.91,5.68,137.19,1915.23,7994.95,0.93,36.21,129.27,2028.09,7861.08,8.3183,0.02,303,1915,84.93,10.36,6.2357,32
